source_site,course_name,course_type,price_raw,price_currency,instructor,duration,syllabus_content,certification_type,brochure_url,url,price_original,start_date,modality,certification,methodology,content
PUCP InfoPUCP,Alquimia Digital: Transforma tu Práctica Docente con IA,N/A,N/A,N/A,N/A,16 horas,N/A,N/A,N/A,https://infopucp.pucp.edu.pe/propuesta_academica/alquimia-digital-transforma-tu-practica-docente-con-ia/,N/A,N/A,N/A,N/A,N/A,N/A
PUCP InfoPUCP,Curso Taller en Edición de Videos con Adobe Premiere Pro CC - Presencial,N/A,N/A,N/A,N/A,16 horas,N/A,N/A,N/A,https://infopucp.pucp.edu.pe/propuesta_academica/curso-taller-en-edicion-de-videos-con-adobe-premiere-pro-cc-presencial/,N/A,N/A,Presencial,N/A,N/A,N/A
PUCP InfoPUCP,"Diseño de Materiales Didácticos Interactivos con Genially, Canva y PowerPoint",N/A,N/A,N/A,N/A,12 horas,N/A,N/A,N/A,https://infopucp.pucp.edu.pe/propuesta_academica/diseno-de-materiales-didacticos-interactivos-con-genially-canva-y-powerpoint/,N/A,N/A,N/A,N/A,N/A,N/A
PUCP InfoPUCP,Gamificación en el Aula: Transformando el Aprendizaje con Escape Rooms e Inteligencia Artificial,N/A,N/A,N/A,N/A,12 horas,N/A,N/A,N/A,https://infopucp.pucp.edu.pe/propuesta_academica/gamificacion-en-el-aula-transformando-el-aprendizaje-con-escape-rooms-e-inteligencia-artificial/,N/A,N/A,N/A,N/A,N/A,N/A
PUCP InfoPUCP,Herramientas Digitales para la Evaluación Auténtica,N/A,N/A,N/A,N/A,12 horas,N/A,N/A,N/A,https://infopucp.pucp.edu.pe/propuesta_academica/herramientas-digitales-para-la-evaluacion-autentica/,N/A,N/A,N/A,N/A,N/A,N/A
