source_site,course_name,course_type,price_raw,price_currency,instructor,duration,syllabus_content,certification_type,brochure_url,url,price_original,start_date,modality,certification,methodology,content
ED Team,Curso: HTML desde cero  (2024),Curso,$32,USD,N/A,7 horas,N/A,N/A,N/A,https://ed.team/cursos/html,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Cómo escribir prompts de IA que funcionen,Curso,$20,USD,N/A,3 horas,N/A,N/A,N/A,https://ed.team/cursos/prompts,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Canva desde cero (2025),Curso,$16,USD,N/A,4 horas,N/A,N/A,N/A,https://ed.team/cursos/canva,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Enrutamiento de redes (2025),Curso,$20,USD,N/A,7 horas,N/A,N/A,N/A,https://ed.team/cursos/enrutamiento,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: JavaScript desde cero,Curso,$28,USD,N/A,8 horas,N/A,N/A,N/A,https://ed.team/cursos/javascript,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Construye tu primer emprendimiento desde cero,Curso,$60,USD,N/A,4 horas,N/A,N/A,N/A,https://ed.team/cursos/empresa,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: CI/CD con CircleCI y Jenkins,Curso,$20,USD,N/A,7 horas,N/A,N/A,N/A,https://ed.team/cursos/jenkins-circleci,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: MCP: Conecta la IA con todo,Curso,$40,USD,N/A,4 horas,N/A,N/A,N/A,https://ed.team/cursos/mcp,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Taller: Crea aplicaciones Angular del lado del servidor (SSR),Curso,$35,USD,N/A,6 horas,N/A,N/A,N/A,https://ed.team/cursos/angular-ssr,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Data science para negocios,Curso,$25,USD,N/A,N/A,N/A,N/A,N/A,https://ed.team/cursos/data-science,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Domina las estructuras de datos con Inteligencia Artificial,Curso,$20,USD,N/A,5 horas,N/A,N/A,N/A,https://ed.team/cursos/estructuras-datos,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Pipelines CI/CD en Azure DevOps,Curso,$35,USD,N/A,9 horas,N/A,N/A,N/A,https://ed.team/cursos/ci-cd-azure,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Gestión reactiva en Angular con RxJS,Curso,$25,USD,N/A,6 horas,N/A,N/A,N/A,https://ed.team/cursos/gestion-reactiva,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Desarrollo full stack con IA,Curso,$60,USD,N/A,N/A,N/A,N/A,N/A,https://ed.team/cursos/fullstack-ia,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Diseño con IA en Canva (2025),Curso,$25,USD,N/A,5 horas,N/A,N/A,N/A,https://ed.team/cursos/canva-ia,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: ChatGPT para todos. De cero a experto,Curso,$24,USD,N/A,3 horas,N/A,N/A,N/A,https://ed.team/cursos/chatgpt,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Procesamiento de datos en Java con Streams y Lambdas,Curso,$16,USD,N/A,5 horas,N/A,N/A,N/A,https://ed.team/cursos/java-streams-lambdas,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Introducción a Claude para programadores,Curso,$15,USD,N/A,3 horas,N/A,N/A,N/A,https://ed.team/cursos/claude,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Agentes MCP con LangChain,Curso,$15,USD,N/A,N/A,N/A,N/A,N/A,https://ed.team/cursos/mcp-langchain,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Claude Code,Curso,$40,USD,N/A,4 horas,N/A,N/A,N/A,https://ed.team/cursos/claude-code,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Análisis de datos en Python con NumPy y Pandas,Curso,$20,USD,N/A,3 horas,N/A,N/A,N/A,https://ed.team/cursos/analisis-python,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: React desde cero con IA (2026),Curso,$39,USD,N/A,N/A,N/A,N/A,N/A,https://ed.team/cursos/react,$48,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Automatización de servidores con Ansible,Curso,$25,USD,N/A,N/A,N/A,N/A,N/A,https://ed.team/cursos/ansible,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Taller: Análisis de Series Temporales en Negocios e inversiones,Curso,$21,USD,N/A,3 horas,N/A,N/A,N/A,https://ed.team/cursos/series-temporales,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Programación reactiva con Spring Boot,Curso,$15,USD,N/A,5 horas,N/A,N/A,N/A,https://ed.team/cursos/spring-boot,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Taller: Desarrolla apps interactivas con Nuxt y Gemini,Curso,$28,USD,N/A,4 horas,N/A,N/A,N/A,https://ed.team/cursos/nuxt-gemini,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: RAG: Adapta la IA a tu información,Curso,$15,USD,N/A,2 horas,N/A,N/A,N/A,https://ed.team/cursos/rag,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Desarrollo de apps Android con APIs REST,Curso,$20,USD,N/A,6 horas,N/A,N/A,N/A,https://ed.team/cursos/apis-rest-android,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Ingeniería de datos para programadores,Curso,$30,USD,N/A,N/A,N/A,N/A,N/A,https://ed.team/cursos/data-engineering,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Taller: Crea tu primer videojuego con Construct 3,Curso,$28,USD,N/A,3 horas,N/A,N/A,N/A,https://ed.team/cursos/construct3,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Curso: Desarrollo multiplataforma con Kotlin,Curso,$20,USD,N/A,5 horas,N/A,N/A,N/A,https://ed.team/cursos/kotlin-multiplatform,N/A,N/A,N/A,N/A,N/A,N/A
ED Team,Taller: Desarrolla un Sistema de pedidos con Laravel 11,Curso,$21,USD,N/A,3 horas,N/A,N/A,N/A,https://ed.team/cursos/laravel-aplicacion,N/A,N/A,N/A,N/A,N/A,N/A
